title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"2.5 Storied House on Sale at Kathmandu-14, kalanki.","2,90,00,000",Kathmandu,Kathmandu,Two And Half Floors,,9 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8585
"2.5 Storied House on Sale at Tarkeshwor-5, Lolang,Kathmandu.","95,00,000","Kathmandu, Tarkeshwor",Kathmandu,Two And Half Floors,,7 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8582
"3.5 Storied House on Sale at Jayabahageshwori-8 ,Kathmandu.","3,85,00,000","Kathmandu, Dakshinamurti Marg,jayabahageshworiThe Pashupatinath Temple is 3 minutes walking distance from the Residence.",Kathmandu,3.5 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8578
"4.5 Storey Commercial House for Sale @ Main  Chowk  Putalisadak Chowk,Kathmandu.","5,00,00,000","Kathmandu,  Putalisadak Main ChowkJUST 1 BLOCK INSIDE MAIN DILLIBAZAR ROAD.",Kathmandu,4.5 Floors,,7 Bed Room,6 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8576
"Residential House on Sale at OM Marg,Bikash Chowk, Bharatpur-05 ,chitwan","1,30,00,000","Chitwan, Bharatpur, bikash chowk",Chitwan,1 and Half Floors,,3 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8575
"3 Storied House on Sale at Baluwakhani, Nikhileshwor Tole,Budhanilkanth-10,Kathmandu.","3,00,00,000","Kathmandu, Budhanilkantha, Baluwakhani100 meter East from Nikhileshwor Temple.",Kathmandu,Three Floors,,5 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8573
"3 Storied House on Sale at Kharipot, Budhanilkantha-11, Kathmandu.","2,60,00,000","Kathmandu, Budhanilkantha, Kharibot",Kathmandu,Three Floors,,6 Bed Room,3 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8568
"Residential House on sale at Tarkeshwar-7 Tusal chaur, Kathmandu.","2,30,00,000","Kathmandu, Tarkeshwar, FutungGyan bhumi School area,Tarkeshwar-7 Tusal chaur And Nagpokhari.",Kathmandu,Two And Half Floors,,11 Bed Room,3 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8567
"Commercial Land with House On Sale At Thaiba,Lalitpur.","26,00,00,000","Lalitpur, Thaiba15 min From Ring Road.",Lalitpur,Two And Half Floors,,6 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8566
"Residential House on sale at Tahachal,Kathmandu","2,80,00,000","Kathmandu, TahachalNear Mahendra Ratna Campus",Kathmandu,Two Floors,,7 Bed Room,2 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8562
